I fuente;Error IF;V fuente;Error VF;V multimetro;Error VM; I multimetro;Error IM
;;430;1;377;5;140;10
;;420;1;370;5;125;10
;;410;1;362;5;113;10
;;400;1;355;5;105;10
;;390;1;349;5;90;10
;;380;1;341;5;86;10
;;370;1;336;5;72;5
;;360;1;327;5;60;5
;;350;1;320;5;47;5
;;355;1;323;5;54;5
;;345;1;316;5;41;5
;;340;1;313;5;34;5
